question,intent,entities,answer
May I know How long does delivery take? right now,delivery_query,,We deliver 20L jars and bottled water.
Can you explain Can I get water delivery today? right now,delivery_query,,We deliver 20L jars and bottled water.
Please help me with How do I place an order? today,contact_query,,You can contact us through our website.
May I know Can I get water delivery today? in PCMC,delivery_query,PCMC,Same day delivery is available.
Could you tell me Do you offer private labeling? right now,branding_query,,Custom branding is available for bulk orders.
May I know Is your water purified? quickly,quality_query,,We use multi-stage filtration and RO purification.
I want to know What filtration process do you use? today,quality_query,,"Yes, our water is hygienic and safe."
Please help me with Can I call for orders? right now,contact_query,,Please use the contact form for assistance.
Give information about Can I get water delivery today? in PCMC,delivery_query,PCMC,We deliver 20L jars and bottled water.
Give information about Can I customize water bottles? right now,branding_query,,"Yes, we provide private labeling services."
I want to know Do you offer private labeling? today,branding_query,,"Yes, we provide private labeling services."
I want to know How long does delivery take? quickly,delivery_query,,Delivery usually takes 2 hours.
Give information about How long does delivery take? in Pune,delivery_query,Pune,Same day delivery is available.
Give information about Can you help me? for home delivery,greeting,,Hi! How can we help you today?
Can you explain Do you offer bulk pricing? for business use,price_query,,Bulk pricing is available for large orders.
May I know Do you use RO filtration? in Pune,quality_query,Pune,Our water goes through advanced purification.
Give information about Good morning for business use,greeting,,Greetings from Gagangiri Foods.
Can you explain How do I place an order? for business use,contact_query,,Please use the contact form for assistance.
Please tell me Hello for home delivery,greeting,,Hi! How can we help you today?
Give information about Can I call for orders? for business use,contact_query,,Customer support is available during business hours.
Please help me with Hey for business use,greeting,,Welcome to our AI assistant.
I want to know Do you have customer support? quickly,contact_query,,Please use the contact form for assistance.
Give information about Is your water purified? for business use,quality_query,,"Yes, our water is hygienic and safe."
I want to know Hi for home delivery,greeting,,Hi! How can we help you today?
Can you explain How do I place an order? quickly,contact_query,,Please use the contact form for assistance.
Could you tell me Namaste right now,greeting,,Hello! Welcome to Gagangiri Foods.
I want to know What is the price of 1 liter bottle? in PCMC,price_query,PCMC,The 1 liter bottle costs around ₹18.
Give information about Hi for home delivery,greeting,,Hello! Welcome to Gagangiri Foods.
Please tell me Is same day delivery available? in PCMC,delivery_query,PCMC,Delivery usually takes 2 hours.
May I know Do you offer bulk pricing? for business use,price_query,,The 20L refill jar costs approximately ₹40.
I want to know Do you print logos on bottles? today,branding_query,,Custom branding is available for bulk orders.
Give information about Can I get water delivery today? right now,delivery_query,,Delivery usually takes 2 hours.
May I know Can you help me? for home delivery,greeting,,Greetings from Gagangiri Foods.
May I know Do you provide delivery in Pune? in PCMC,delivery_query,"Pune, PCMC",Delivery usually takes 2 hours.
Please help me with Do you offer bulk pricing? right now,price_query,,Bulk pricing is available for large orders.
I want to know Do you print logos on bottles? right now,branding_query,,Custom branding is available for bulk orders.
Could you tell me What is the price of 1 liter bottle? in PCMC,price_query,PCMC,The 20L refill jar costs approximately ₹40.
Please tell me Namaste today,greeting,,Hi! How can we help you today?
Give information about How do I place an order? for business use,contact_query,,Please use the contact form for assistance.
May I know Do you deliver 20L jars? in Pune,delivery_query,"Pune, 20L Jar",Same day delivery is available.
I want to know Is same day delivery available? quickly,delivery_query,,Delivery usually takes 2 hours.
Can you explain Is your water purified? for business use,quality_query,,We use multi-stage filtration and RO purification.
Give information about What is the price of 1 liter bottle? in PCMC,price_query,PCMC,The 20L refill jar costs approximately ₹40.
Can you explain Is your water purified? today,quality_query,,We use multi-stage filtration and RO purification.
Please help me with Good morning in PCMC,greeting,PCMC,Greetings from Gagangiri Foods.
Give information about Namaste in Pune,greeting,Pune,Greetings from Gagangiri Foods.
Please help me with Can I call for orders? in PCMC,contact_query,PCMC,You can contact us through our website.
Please help me with Is the water safe to drink? right now,quality_query,,Our water goes through advanced purification.
Could you tell me Good morning in Pune,greeting,Pune,Greetings from Gagangiri Foods.
Please help me with Is your water purified? in PCMC,quality_query,PCMC,"Yes, our water is hygienic and safe."
Please help me with How can I contact you? in Pune,contact_query,Pune,Please use the contact form for assistance.
Can you explain Can I customize water bottles? quickly,branding_query,,"Yes, we provide private labeling services."
I want to know What is the price of 1 liter bottle? in PCMC,price_query,PCMC,Bulk pricing is available for large orders.
Give information about Can I call for orders? for business use,contact_query,,You can contact us through our website.
Please help me with Tell me the bottle prices. in PCMC,price_query,PCMC,Bulk pricing is available for large orders.
May I know Can you help me? in PCMC,greeting,PCMC,Hello! Welcome to Gagangiri Foods.
I want to know Can you help me? quickly,greeting,,Hi! How can we help you today?
Can you explain Hey today,greeting,,Greetings from Gagangiri Foods.
I want to know Is support available? for home delivery,greeting,,Hello! Welcome to Gagangiri Foods.
Give information about Do you have customer support? quickly,contact_query,,Please use the contact form for assistance.
